timestep	temperature	potential_energy	translational_kinetic_energy	rotational_kinetic_energy
4500	0.6892331665	5161.882534	69.26793324	0
4510	0.8174257127	5148.767306	82.15128413	0
4520	0.7494060226	5155.392568	75.31530527	0
4530	0.7178963213	5158.369339	72.1485803	0
4540	0.6449819758	5165.555829	64.82068857	0
4550	0.7186183993	5158.176269	72.22114913	0
4560	0.6638218472	5163.62773	66.71409565	0
4570	0.7195802789	5157.565622	72.31781803	0
4580	0.6766992293	5161.73026	68.00827254	0
4590	0.7570161621	5153.880441	76.08012429	0
4600	0.7426694232	5155.547433	74.63827703	0
4610	0.6747058289	5162.592078	67.80793581	0
4620	0.6845773136	5161.621702	68.80002002	0
4630	0.7039952318	5159.62684	70.7515208	0
4640	0.7928961267	5150.598373	79.68606073	0
4650	0.6272980544	5167.433464	63.04345446	0
4660	0.6916988377	5160.895157	69.51573319	0
4670	0.7047429506	5159.569508	70.82666654	0
4680	0.7333720786	5156.701604	73.7038939	0
4690	0.7536289477	5154.680456	75.73970924	0
4700	0.7353478732	5156.467091	73.90246126	0
4710	0.7011236695	5160.317568	70.46292878	0
4720	0.6923751538	5161.261467	69.58370296	0
4730	0.7040494321	5160.156063	70.75696793	0
4740	0.6020967723	5170.496108	60.51072562	0
4750	0.6170577494	5168.761555	62.01430381	0
4760	0.6556448332	5164.546945	65.89230573	0
4770	0.6276324649	5167.448912	63.07706273	0
4780	0.7204044109	5157.983264	72.4006433	0
4790	0.6703383278	5163.347738	67.36900194	0
4800	0.8366173934	5146.658715	84.08004804	0
4810	0.7770201045	5152.709272	78.0905205	0
4820	0.7885740658	5151.514823	79.25169361	0
4830	0.6855496015	5161.904994	68.89773495	0
4840	0.620028401	5168.318325	62.31285431	0
4850	0.7398564124	5156.385112	74.35556945	0
4860	0.7957657253	5150.78421	79.9744554	0
4870	0.6813872918	5162.309773	68.47942283	0
4880	0.5932038763	5171.23906	59.61698957	0
4890	0.6930821384	5161.034253	69.65475491	0
4900	0.7482313381	5155.229832	75.19724948	0
4910	0.7142133277	5158.063477	71.77843943	0
4920	0.7297554156	5156.471429	73.34041927	0
4930	0.7565253054	5153.937159	76.03079319	0
4940	0.8237132173	5147.331376	82.78317834	0
4950	0.6843558155	5161.316587	68.77775946	0
4960	0.5998488089	5170.203678	60.28480529	0
4970	0.7072739721	5159.538032	71.0810342	0
4980	0.7742286938	5152.794295	77.80998373	0
4990	0.7330313122	5155.338524	73.66964688	0
5000	0.6907862297	5159.45437	69.42401608	0
5010	0.6545269381	5163.167609	65.77995728	0
5020	0.700868488	5158.945488	70.43728304	0
5030	0.7345367657	5155.986869	73.82094495	0
5040	0.5712479543	5172.653435	57.41041941	0
5050	0.6607156142	5163.302237	66.40191922	0
5060	0.661027077	5163.099594	66.43322124	0
5070	0.6949964193	5159.492091	69.84714014	0
5080	0.7082910917	5157.76193	71.18325471	0
5090	0.7289337594	5155.535375	73.25784281	0
5100	0.6509515656	5163.439704	65.42063234	0
5110	0.6490577015	5163.460871	65.230299	0
5120	0.7184280873	5156.322632	72.20202277	0
5130	0.7374464651	5154.208148	74.11336974	0
5140	0.7306167487	5154.853307	73.42698324	0
5150	0.7497478647	5153.236871	75.3496604	0
5160	0.6707723859	5161.213406	67.41262478	0
5170	0.6957086335	5158.694804	69.91871767	0
5180	0.6292832795	5165.280486	63.24296959	0
5190	0.5844314336	5169.924359	58.73535908	0
5200	0.6093857182	5167.530808	61.24326468	0
5210	0.6713028835	5161.461553	67.46593979	0
5220	0.7521690943	5153.606729	75.59299398	0
5230	0.7408408709	5154.914889	74.45450753	0
5240	0.7575611335	5153.590345	76.13489391	0
5250	0.7775288179	5151.725315	78.1416462	0
5260	0.8874977156	5139.842522	89.19352042	0
5270	0.6035009011	5168.148407	60.65184056	0
5280	0.555239888	5172.894588	55.80160874	0
5290	0.7269606437	5155.375107	73.05954469	0
5300	0.8140984964	5145.506194	81.81689888	0
5310	0.6357948382	5163.221996	63.89738123	0
5320	0.5530028987	5171.70259	55.57679132	0
5330	0.7448894057	5152.313775	74.86138528	0
5340	0.7538884921	5151.086584	75.76579345	0
5350	0.7457338037	5151.792641	74.94624728	0
5360	0.5717257187	5169.156976	57.45843473	0
5370	0.6484681946	5161.435067	65.17105356	0
5380	0.8178918458	5144.679594	82.1981305	0
5390	0.7490848406	5151.646433	75.28302648	0
5400	0.5755020443	5168.970484	57.83795545	0
5410	0.61129047	5165.103132	61.43469223	0
5420	0.7083839698	5155.344813	71.19258897	0
5430	0.7073054197	5155.454907	71.08419468	0
5440	0.6909314496	5157.263813	69.43861068	0
5450	0.6347078929	5163.044346	63.78814323	0
5460	0.6928093146	5157.269799	69.62733611	0
5470	0.6362672223	5163.067426	63.94485584	0
5480	0.702639909	5156.284282	70.61531086	0
5490	0.6774900963	5158.729295	68.08775468	0
5500	0.6717312298	5159.2626	67.5089886	0
5510	0.8004138619	5146.35584	80.44159312	0
5520	0.7436207449	5151.928921	74.73388486	0
5530	0.6840278774	5157.816343	68.74480167	0
5540	0.6525647968	5160.820711	65.58276208	0
5550	0.6876222212	5157.525865	69.10603323	0
5560	0.6553851621	5160.866301	65.86620879	0
5570	0.6808032102	5158.340849	68.42072262	0
5580	0.6790680713	5158.320518	68.24634117	0
5590	0.5940785345	5166.87195	59.70489272	0
5600	0.7221848239	5153.783291	72.57957481	0
5610	0.7172242162	5153.910025	72.08103373	0
5620	0.6876344134	5156.652676	69.10725855	0
